YEAR,MONTH,DATE,INCOME,CATEGORY,CATEGORY_COUNT,CAT_TOT,CAT_INCM_PCENT,CAT_NEW,CAT_NEW_TOT,CAT_NEW_INCM_PCENT,CAT_OLD_BENCHMARK
2020,6,1/06/2020,8068.83,Loan Pay,7,3490,43.25286318,Need,7149.73,88.60925314,33
2020,5,4/05/2020,10760.91,Loan Pay,6,5480,50.92506117,Need,7574.92,70.39293145,33
2020,4,6/04/2020,24528.98,Loan Pay,9,16360,66.69661763,Need,17859.83,72.81114013,33
2020,3,2/03/2020,44410.36,Loan Pay,9,41470,93.37911244,Need,44781.45,100.8355933,33
2020,2,3/02/2020,8157.21,Loan Pay,4,3480,42.66164534,Need,5731.9,70.26789797,33
2020,1,6/01/2020,11570.92,Loan Pay,5,180,1.555623926,Need,1541.44,13.32167192,33
2019,12,2/12/2019,9217.77,Loan Pay,5,4350,47.19145737,Need,6569.77,71.27287836,33
2019,11,4/11/2019,15395.47,Loan Pay,5,6780,44.03892833,Need,9513.56,61.79454086,33
2019,10,7/10/2019,9290.04,Loan Pay,4,3480,37.45947273,Need,5691.75,61.26722813,33
2019,9,2/09/2019,11849.86,Loan Pay,5,4350,36.70929446,Need,7830.33,66.07951486,33
2019,8,5/08/2019,11394.65,Loan Pay,4,3480,30.54064846,Need,7361.58,64.60558244,33
2019,7,1/07/2019,7783.18,Loan Pay,5,4350,55.889752,Need,8152.12,104.7402219,33
2019,6,3/06/2019,59160.3,Loan Pay,4,3480,5.882323112,Need,6379.46,10.78334626,33
2019,5,6/05/2019,7072.1,Loan Pay,4,3480,49.20744899,Need,5997.61,84.80663452,33
2019,4,1/04/2019,36185.65,Loan Pay,5,4350,12.02133995,Need,6772.9,18.71708813,33
